# UCN Hits histogram
# Run 2578
# Cycle 17
# Period 3
# Background data
# Bin size: 1000 ms
# mean current: 22.00710735680922
tUnixTimePrecise,Count
1749972003.5002425,0.0
1749972004.5002425,1691.0
1749972005.5002425,1703.0
1749972006.5002425,1696.0
1749972007.5002425,1667.0
1749972008.5002425,1750.0
1749972009.5002425,1639.0
1749972010.5002425,1664.0
1749972011.5002425,1632.0
1749972012.5002425,1676.0
1749972013.5002425,1647.0
1749972014.5002425,1533.0
1749972015.5002425,1627.0
1749972016.5002425,1559.0
1749972017.5002425,1560.0
1749972018.5002425,1516.0
1749972019.5002425,1489.0
1749972020.5002425,1461.0
1749972021.5002425,1413.0
1749972022.5002425,1453.0
1749972023.5002425,1332.0
1749972024.5002425,1510.0
1749972025.5002425,1422.0
1749972026.5002425,1471.0
1749972027.5002425,1409.0
1749972028.5002425,1378.0
1749972029.5002425,1358.0
1749972030.5002425,1347.0
1749972031.5002425,1364.0
1749972032.5002425,1384.0
1749972033.5002425,1367.0
1749972034.5002425,1300.0
1749972035.5002425,1347.0
1749972036.5002425,1395.0
1749972037.5002425,1482.0
1749972038.5002425,1466.0
1749972039.5002425,1393.0
1749972040.5002425,1372.0
1749972041.5002425,1352.0
1749972042.5002425,1234.0
1749972043.5002425,1297.0
1749972044.5002425,1304.0
1749972045.5002425,1279.0
1749972046.5002425,1247.0
1749972047.5002425,1231.0
1749972048.5002425,1301.0
1749972049.5002425,1189.0
1749972050.5002425,1160.0
1749972051.5002425,1188.0
1749972052.5002425,1231.0
1749972053.5002425,1177.0
1749972054.5002425,1214.0
1749972055.5002425,1214.0
1749972056.5002425,1192.0
1749972057.5002425,1198.0
1749972058.5002425,1106.0
1749972059.5002425,1127.0
1749972060.5002425,1071.0
1749972061.5002425,1103.0
1749972062.5002425,1154.0
1749972063.5002425,1144.0
1749972064.5002425,1129.0
1749972065.5002425,1099.0
1749972066.5002425,1034.0
1749972067.5002425,1063.0
1749972068.5002425,1058.0
1749972069.5002425,1126.0
1749972070.5002425,1023.0
1749972071.5002425,984.0
1749972072.5002425,1004.0
1749972073.5002425,974.0
1749972074.5002425,1089.0
1749972075.5002425,1150.0
1749972076.5002425,1156.0
1749972077.5002425,1106.0
1749972078.5002425,1033.0
1749972079.5002425,1081.0
1749972080.5002425,1186.0
1749972081.5002425,1133.0
1749972082.5002425,1106.0
1749972083.5002425,1123.0
1749972084.5002425,1130.0
1749972085.5002425,1245.0
1749972086.5002425,1164.0
1749972087.5002425,1180.0
1749972088.5002425,1206.0
1749972089.5002425,1149.0
1749972090.5002425,1067.0
1749972091.5002425,1060.0
1749972092.5002425,1006.0
1749972093.5002425,946.0
1749972094.5002425,1075.0
1749972095.5002425,1120.0
1749972096.5002425,1090.0
1749972097.5002425,1093.0
1749972098.5002425,1138.0
1749972099.5002425,1078.0
1749972100.5002425,1092.0
1749972101.5002425,1037.0
1749972102.5002425,1148.0
1749972103.5002425,1026.0
1749972104.5002425,1005.0
1749972105.5002425,1011.0
1749972106.5002425,1036.0
1749972107.5002425,1023.0
1749972108.5002425,1034.0
1749972109.5002425,1104.0
1749972110.5002425,1055.0
1749972111.5002425,1097.0
1749972112.5002425,1119.0
1749972113.5002425,1131.0
1749972114.5002425,1072.0
1749972115.5002425,1071.0
1749972116.5002425,1052.0
1749972117.5002425,998.0
1749972118.5002425,1027.0
1749972119.5002425,956.0
1749972120.5002425,1040.0
1749972121.5002425,1005.0
1749972122.5002425,1030.0
